,Tweet Content,tokens,clean_tweet,sentiment,sentiment_class,label,polarity,subjectivity
0,"""@fmartin1954 Given their world wide distribution, strains adapted to warm temperature probably have been there for a long time and migrate to new locations and human populations recently due to the climate changes?""","['given', 'world', 'wide', 'distribution', 'strain', 'adapted', 'warm', 'temperature', 'probably', 'long', 'time', 'migrate', 'new', 'location', 'human', 'population', 'recently', 'due', 'climate', 'change']",given world wide distribution strain adapted warm temperature probably long time migrate new location human population recently due climate change,0.1779,positive,2,0.0768939393939394,0.38825757575757575
1,"""Last week, @amywestervelt joined @CoveringClimate's Climate Changes Everything conference to talk about self accountability in fossil fuel advertising, and why accepting revenue from the fossil fuel sector is more damaging than the dollars are worth.  @CJR
https://t.co/AHvArIiM8g""","['last', 'week', 'joined', 'climate', 'change', 'everything', 'conference', 'talk', 'self', 'accountability', 'fossil', 'fuel', 'advertising', 'accepting', 'revenue', 'fossil', 'fuel', 'sector', 'damaging', 'dollar', 'worth']",last week joined climate change everything conference talk self accountability fossil fuel advertising accepting revenue fossil fuel sector damaging dollar worth,0.0516,neutral,2,0.15,0.08333333333333334
2,"""@UnitedGMH is hosting workshop 3 at the Global Mental Health Summit: ""Climate &amp; Environmental Changes: Addressing the Impact on Mental Health"".

Explore the links between environment, #climatechange, and mental well-being.
@msalnacion @WHO @MHInnovation @iamhrf @UNICEF https://t.co/PDqMYDnXpF""","['hosting', 'workshop', 'global', 'mental', 'health', 'summit', 'climate', 'environmental', 'change', 'addressing', 'impact', 'mental', 'health', 'explore', 'link', 'environment', 'mental', 'well']",hosting workshop global mental health summit climate environmental change addressing impact mental health explore link environment mental well,0.2732,positive,1,-0.07500000000000001,0.15000000000000002
3,"""Really great that as the climate literally changes, our infrastructure can’t handle it. https://t.co/RNcJvH8HGG""","['really', 'great', 'climate', 'literally', 'change', 'infrastructure', 'can’', 'handle']",really great climate literally change infrastructure can’ handle,0.659,positive,1,0.8,0.75
4,"""Last week, @amywestervelt joined @CoveringClimate's Climate Changes Everything conference to talk about self accountability in fossil fuel advertising, and why accepting revenue from the fossil fuel sector is more damaging than the dollars are worth.  @CJR
https://t.co/AHvArIiM8g""","['last', 'week', 'joined', 'climate', 'change', 'everything', 'conference', 'talk', 'self', 'accountability', 'fossil', 'fuel', 'advertising', 'accepting', 'revenue', 'fossil', 'fuel', 'sector', 'damaging', 'dollar', 'worth']",last week joined climate change everything conference talk self accountability fossil fuel advertising accepting revenue fossil fuel sector damaging dollar worth,0.0516,neutral,2,0.15,0.08333333333333334
5,"""It shouldn't even have to be said, but journalism has gotten just that corrupt. https://t.co/H15rkiUOWN""","['even', 'said', 'journalism', 'ha', 'gotten', 'corrupt']",even said journalism ha gotten corrupt,0.34,positive,1,-0.5,1.0
6,"""Last week, @amywestervelt joined @CoveringClimate's Climate Changes Everything conference to talk about self accountability in fossil fuel advertising, and why accepting revenue from the fossil fuel sector is more damaging than the dollars are worth.  @CJR
https://t.co/AHvArIiM8g""","['last', 'week', 'joined', 'climate', 'change', 'everything', 'conference', 'talk', 'self', 'accountability', 'fossil', 'fuel', 'advertising', 'accepting', 'revenue', 'fossil', 'fuel', 'sector', 'damaging', 'dollar', 'worth']",last week joined climate change everything conference talk self accountability fossil fuel advertising accepting revenue fossil fuel sector damaging dollar worth,0.0516,neutral,2,0.15,0.08333333333333334
7,"""Going from the south of France to the North of Germany was a really great travel plan for me, someone who adjusts easily to rapid changes in climate…""","['going', 'south', 'france', 'north', 'germany', 'really', 'great', 'travel', 'plan', 'someone', 'adjusts', 'easily', 'rapid', 'change', 'climate…']",going south france north germany really great travel plan someone adjusts easily rapid change climate…,0.7778,positive,1,0.6166666666666667,0.7916666666666667
8,"""@GrantMa24544383 @rachelrwithers Basically when humans first arrived on the continent their were profound affects on Ecosystems. After  thousands of years Indigenous Australians gradually evolved a complex system of sacred sites &amp; sacred plants &amp; animals. These areas were in affect wildlife preserves.""","['basically', 'human', 'first', 'arrived', 'continent', 'profound', 'affect', 'ecosystem', 'thousand', 'year', 'indigenous', 'australian', 'gradually', 'evolved', 'complex', 'system', 'sacred', 'site', 'sacred', 'plant', 'animal', 'area', 'affect', 'wildlife', 'preserve']",basically human first arrived continent profound affect ecosystem thousand year indigenous australian gradually evolved complex system sacred site sacred plant animal area affect wildlife preserve,0.0,neutral,2,0.006666666666666665,0.3666666666666667
9,"""Last week, @amywestervelt joined @CoveringClimate's Climate Changes Everything conference to talk about self accountability in fossil fuel advertising, and why accepting revenue from the fossil fuel sector is more damaging than the dollars are worth.  @CJR
https://t.co/AHvArIiM8g""","['last', 'week', 'joined', 'climate', 'change', 'everything', 'conference', 'talk', 'self', 'accountability', 'fossil', 'fuel', 'advertising', 'accepting', 'revenue', 'fossil', 'fuel', 'sector', 'damaging', 'dollar', 'worth']",last week joined climate change everything conference talk self accountability fossil fuel advertising accepting revenue fossil fuel sector damaging dollar worth,0.0516,neutral,2,0.15,0.08333333333333334
